officer_id;po_assigned_unit;TotalComplaints;Civil Rights Complaint;Criminal Allegation;Departmental Violation;Disciplinary Code Violation;Domestic;Drugs;Falsification;Harassment;Investigation OnGoing;Lack of Service;No C.A.P. Investigation;Other Misconduct;Physical Abuse;Referred to Other Agency/C.A.P. Investigation;Sexual Crime/Misconduct;Unprofessional Conduct;Verbal Abuse;Gender;race;No Sustained Findings;Not Applicable;Pending;Sustained Finding
13657304;3500 35TH DISTRICT; 6;0;0; 3;0;0;0;0;0;0;0;0;0;3;0;0;0;0;1;5; 5;0;0; 1
13705713;1800 18TH DISTRICT; 1;0;0; 1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4; 0;0;0; 1
13711206;4902 DETENTION ROOM; 1;0;0; 0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;2; 1;0;0; 0
13736612;6600 NORTHWEST DETECTIVE; 3;0;0; 0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;1;5; 2;0;1; 0
13763048;5900 EAST DETECTIVES; 2;0;0; 0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;4; 2;0;0; 0
13763219;2200 22ND DISTRICT; 1;0;0; 0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;2; 1;0;0; 0
13869134;5300 HIGHWAY PATROL; 3;1;0; 2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;4; 5;0;0; 0
13869134;0200 02ND DISTRICT; 2;1;0; 2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;4; 5;0;0; 0
13881837;2400 24TH DISTRICT; 1;0;1; 0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;5; 1;0;0; 0
13886300;0800 08TH DISTRICT; 1;0;0; 1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2; 1;0;0; 0
13935739;1400 14TH DISTRICT; 5;0;0; 2;0;0;0;0;0;0;1;0;0;0;0;0;1;1;1;2; 5;0;0; 0
13937112;3900 39TH DISTRICT; 2;0;0; 0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;5; 1;0;1; 0
13961145;1800 18TH DISTRICT; 3;0;0; 3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2; 1;0;0; 2
13993417;5601 Tow Squad; 2;0;0; 1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2; 0;0;0; 2
14056589;0200 02ND DISTRICT; 9;0;1; 5;0;0;0;0;1;0;0;0;0;0;0;0;1;1;1;5; 8;0;0; 1
14076158;1400 14TH DISTRICT; 1;0;0; 0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;5; 1;0;0; 0
14086801;1400 14TH DISTRICT; 4;0;0; 1;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;5; 4;0;0; 0
14094869;2400 24TH DISTRICT; 1;0;0; 1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;5; 1;0;0; 0
14139673;2400 24TH DISTRICT; 7;0;0; 3;0;0;0;0;1;0;2;0;0;1;0;0;0;0;1;5; 4;0;0; 3
14171945;1400 14TH DISTRICT; 8;0;0; 2;0;0;0;0;0;0;1;0;0;2;0;0;1;2;0;2; 7;0;0; 1
14319402;3900 39TH DISTRICT; 1;0;0; 0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;5; 1;0;0; 0
14335538;2200 22ND DISTRICT; 4;1;0; 2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;5; 2;0;1; 1
14358369;1600 16TH DISTRICT; 1;0;0; 0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;2; 1;0;0; 0
14383775;1400 14TH DISTRICT; 1;0;0; 3;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;5; 0;0;1; 4
14383775;1900 19TH DISTRICT; 4;0;0; 3;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;5; 0;0;1; 4
14441453;1500 15TH DISTRICT; 3;0;0; 1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;5; 3;0;0; 0
